corpus,commit,specification,assay_id,modality,status,generated_efgdl,compiles,compile_error,lane_count,capability_blockers,diagnostic_codes
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/microwell_seq.spec.yaml","","RNA",BlockedSeqprocCapability,false,false,"",2,"general_variable_boundary_matching;partial_fixed_prefix_matching;variable_read_window_layout","read_window_spans_regions;undelimited_variable_region;variable_partial_fixed_region"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/parse_wt_v2.spec.yaml","WT-Mega-v2","rna",SupportedRequiresBinding,true,true,"",2,"",""
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/pi_atac_seq.spec.yaml","","ATAC",BlockedSourceInvalid,false,false,"",2,"","fixed_sequence_length_mismatch;primer_not_unique"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/pipseqv2.spec.yaml","","RNA",BlockedSeqprocCapability,false,false,"",3,"general_variable_boundary_matching;partial_fixed_prefix_matching;variable_read_window_layout","read_window_spans_regions;undelimited_variable_region;variable_partial_fixed_region"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/pipseqv3.spec.yaml","","RNA",BlockedSeqprocCapability,false,false,"",4,"general_variable_boundary_matching;partial_fixed_prefix_matching;variable_read_window_layout","read_window_spans_regions;undelimited_variable_region;variable_partial_fixed_region"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/quartz_seq.spec.yaml","","RNA",BlockedSourceInvalid,false,false,"",2,"","read_window_exceeds_library"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/quartz_seq2.spec.yaml","","RNA",BlockedSourceInvalid,false,false,"",2,"general_variable_boundary_matching;variable_read_window_layout","fixed_sequence_length_mismatch;read_window_spans_regions;undelimited_variable_region"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/sccrispra.spec.yaml","","crispr",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/sccrispra.spec.yaml","","rna",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/sci_rna_seq.spec.yaml","","RNA",BlockedSeqprocCapability,false,false,"",4,"general_variable_boundary_matching;partial_fixed_prefix_matching;variable_read_window_layout","read_window_spans_regions;undelimited_variable_region;variable_partial_fixed_region"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/sci_rna_seq3.spec.yaml","","RNA",BlockedSeqprocCapability,false,false,"",2,"general_variable_boundary_matching;partial_fixed_prefix_matching;partial_onlist_window_matching;variable_read_window_layout","read_window_spans_regions;undelimited_variable_region;variable_partial_fixed_region;variable_partial_onlist_region"
"pachterlab-seqspec","0771046233fdf93542253c28ecda75054b730080","docs/examples/assays/scifi_rna_seq.spec.yaml","","RNA",BlockedSourceInvalid,false,false,"",2,"general_variable_boundary_matching;partial_onlist_window_matching;variable_read_window_layout","primer_not_unique;read_window_spans_regions;undelimited_variable_region;variable_partial_onlist_region"
